Date,rDIS,rDIS_ex,rM_ex,rSmB,rHmL,rRmW,rCmA,rf,MoM
1/3/2010,0.117477637,0.117377637,0.0631,0.0179,0.0211,-0.0056,0.017,0.0001,0.0366
1/2/2010,0.057191225,0.057191225,0.034,0.0146,0.0316,-0.0033,0.014,0,0.036
1/1/2010,-0.073154286,-0.073154286,-0.0336,0.0029,0.003,-0.0139,0.0046,0,-0.0538
1/12/2009,0.067174038,0.067074038,0.0275,0.0622,0,0.0048,-0.0007,0.0001,0.0291
1/11/2009,0.104128405,0.104128405,0.0556,-0.028,-0.0017,0.0081,0.0013,0,0.0029
1/10/2009,-0.0032774,-0.0032774,-0.0259,-0.0478,-0.0418,0.0418,-0.0166,0,0.0266
1/9/2009,0.05453135,0.05443135,0.0408,0.0274,0.0093,0.0136,0.0038,0.0001,-0.0493
1/8/2009,0.036624448,0.036524448,0.0333,-0.0005,0.0775,-0.0302,0.0318,0.0001,-0.0884
1/7/2009,0.076725222,0.076625222,0.0772,0.0244,0.0528,-0.0066,0.032,0.0001,-0.0536
1/6/2009,-0.036746492,-0.036846492,0.0043,0.0232,-0.0272,-0.0106,-0.0017,0.0001,0.0529
1/5/2009,0.105936105,0.105936105,0.0521,-0.0233,-0.0023,-0.0098,-0.0216,0,-0.1244
1/4/2009,0.205946964,0.205846964,0.1019,0.0671,0.0553,0.0028,0.0014,0.0001,-0.3439
1/3/2009,0.082886085,0.082686085,0.0895,0.0067,0.0356,-0.0233,-0.0222,0.0002,-0.1138
1/2/2009,-0.189071534,-0.189171534,-0.101,-0.0117,-0.0727,0.0171,-0.0112,0.0001,0.0416
1/1/2009,-0.07492373,-0.07492373,-0.0812,-0.0201,-0.1118,0.0023,-0.0115,0,-0.0184
1/12/2008,0.007548995,0.007548995,0.0174,0.0337,-0.0025,-0.0008,-0.014,0,-0.0508
1/11/2008,-0.130837525,-0.131137525,-0.0786,-0.0388,-0.0602,0.0483,0.0272,0.0003,0.071
1/10/2008,-0.155751133,-0.156551133,-0.1723,-0.032,-0.0289,0.036,0.0191,0.0008,0.0779
1/9/2008,-0.051313662,-0.052813662,-0.0924,0.0035,0.0633,0.0295,0.0177,0.0015,0.0035
1/8/2008,0.065897742,0.064597742,0.0153,0.0342,0.0152,0.0185,0.0081,0.0013,-0.0404
1/7/2008,-0.027243675,-0.028743675,-0.0077,0.0366,0.0588,-0.0098,0.0106,0.0015,-0.0514
1/6/2008,-0.071428494,-0.073128494,-0.0844,0.0115,-0.0242,0.043,-0.0042,0.0017,0.1253
1/5/2008,0.036077607,0.034277607,0.0186,0.0322,-0.0138,0.0081,0.0004,0.0018,0.0321
1/4/2008,0.033460963,0.031660963,0.046,-0.0115,-0.0095,0.0128,-0.0254,0.0018,-0.002
1/3/2008,-0.031780475,-0.033480475,-0.0093,0.0075,-0.0014,0.0109,0.0047,0.0017,0.041
1/2/2008,0.086126108,0.084826108,-0.0309,-0.0053,-0.0094,0.0076,-0.0106,0.0013,0.0611
1/1/2008,-0.065602715,-0.067702715,-0.0636,-0.0052,0.0365,0.0198,0.022,0.0021,-0.0789
1/12/2007,-0.026244387,-0.028944387,-0.0087,0.0018,-0.0051,0.007,-0.0109,0.0027,0.0652
1/11/2007,-0.042737511,-0.046137511,-0.0483,-0.0281,-0.0118,0.0188,-0.0034,0.0034,0.0093
1/10/2007,0.006978853,0.003778853,0.018,0.0003,-0.026,-0.0031,-0.001,0.0032,0.0496
1/9/2007,0.023511826,0.020311826,0.0322,-0.0241,-0.0186,-0.0058,-0.0317,0.0032,0.0459
1/8/2007,0.018181754,0.013981754,0.0092,-0.0034,-0.0224,-0.0091,-0.0056,0.0042,0.0011
1/7/2007,-0.033391718,-0.037391718,-0.0373,-0.0287,-0.0333,0.0057,-0.0104,0.004,0.028
1/6/2007,-0.02349903,-0.02749903,-0.0196,0.0076,-0.0112,0.0053,0.0007,0.004,0.0037
1/5/2007,0.013150542,0.009050542,0.0324,0.0028,-0.0004,0.0113,-0.0129,0.0041,-0.0027
1/4/2007,0.015974223,0.011574223,0.0349,-0.0202,-0.0115,0.0102,0.0101,0.0044,-0.0016
1/3/2007,0.005255324,0.000955324,0.0068,0.0007,-0.0022,0.0025,-0.0059,0.0043,0.0249
1/2/2007,-0.026158646,-0.029958646,-0.0196,0.014,-0.0009,-0.0047,-0.0074,0.0038,-0.0135
1/1/2007,0.035684792,0.031284792,0.014,0.0008,-0.0011,0.0022,0.0024,0.0044,0.0021
1/12/2006,0.036913701,0.032913701,0.0087,-0.008,0.0315,-0.008,0.0205,0.004,0.0084
1/11/2006,0.050540251,0.046340251,0.0171,0.0081,0.0007,0.0009,-0.0088,0.0042,-0.0101
